English word,French word,Frequency
abide,respecter,0
about,sur,0
above,au dessus,0
abroad,à l'étranger,0
absence,absence,0
abuse,abuser de,0
according,selon,0
account,Compte,0
accuse,accuser,0
acquainted,connaissance,0
action,action,0
advantage,avantage,0
advice,Conseil,0
affairs,affaires,0
affection,affection,0
affections,affections,0
afraid,peur,0
after,après,0
afterwards,ensuite,0
again,encore,0
alive,vivant,0
almost,presque,0
alone,seul,0
along,le long de,0
already,déjà,0
although,bien que,0
always,toujours,0
ambition,ambition,0
ancient,ancien,0
angel,ange,0
anger,colère,0
another,un autre,0
answer,répondre,0
anything,n'importe quoi,0
apparel,vêtements,0
appear,apparaître,0
appears,apparaît,0
approach,approche,0
argument,argument,0
ariel,Ariel,0
armour,armure,0
aside,de côté,0
asleep,endormi,0
assure,assurer,0
athens,Athènes,0
attend,assister,0
attended,assisté,0
authority,autorité,0
avoid,éviter,0
awake,éveillé,0
awhile,quelque temps,0
banish,bannir,0
barren,Dénudé,0
bassianus,bassianus,0
bastard,Connard,0
battle,bataille,0
beard,barbe,0
bearing,palier,0
bears,ours,0
beast,la bête,0
beaten,battu,0
beauty,beauté,0
because,car,0
become,devenir,0
bedford,Bedford,0
before,avant,0
beggar,mendiant,0
begin,commencer,0
behalf,nom,0
behind,derrière,0
behold,voir,0
being,étant,0
believe,croyez,0
belike,être comme,0
below,au dessous de,0
benefit,avantage,0
besides,outre,0
betray,trahir,0
better,mieux,0
between,entre,0
beyond,au-delà,0
birth,naissance,0
bishop,évêque,0
bitter,amer,0
black,noir,0
blame,faire des reproches,0
bless,bénir,0
blessing,bénédiction,0
blest,heureux,0
blind,aveugle,0
blood,du sang,0
blows,coups,0
blunt,cru,0
blush,rougir,0
bodies,corps,0
bones,des os,0
borne,supporté,0
bottom,bas,0
bought,acheté,0
bound,lié,0
bounty,prime,0
brain,cerveau,0
brains,cerveaux,0
brave,courageux,0
breast,Sein,0
breath,souffle,0
breed,race,0
brief,bref,0
bright,brillant,0
bring,apporter,0
broke,cassé,0
brook,ruisseau,0
brother,frère,0
brought,apporté,0
brows,sourcils,0
burden,fardeau,0
buried,enterré,0
burning,brûlant,0
business,Entreprise,0
cannot,ne peux pas,0
capitol,Capitole,0
captain,capitaine,0
cardinal,cardinal,0
cares,se soucie,0
carry,porter,0
castle,Château,0
catch,capture,0
cause,cause,0
cease,cesser,0
certain,certain,1
chain,chaîne,0
chair,chaise,0
challenge,défi,0
chamber,chambre,0
chance,chance,0
change,changement,0
charge,charge,0
charity,charité,0
chaste,chaste,0
cheek,joue,0
cheer,acclamation,0
chide,gronder,0
chief,chef,0
child,enfant,0
choice,choix,0
church,église,0
cinna,cinna,0
citizen,citoyenne,0
civil,civil,0
claim,prétendre,0
clarence,clarté,0
claud,claud,0
claudio,Claudio,0
clear,clair,0
clifford,Clifford,0
close,proche,0
cloten,cailloter,0
clothes,vêtements,0
clouds,des nuages,0
clown,pitre,0
college,Université,0
colour,Couleur,0
comes,vient,0
comfort,confort,0
coming,venir,0
cominius,cominius,0
command,commander,0
commanded,commandé,0
commend,saluer,0
commercial,commercial,0
commission,commission,0
commit,commettre,0
common,commun,0
companion,un compagnon,0
company,entreprise,0
complete,Achevée,0
complexion,complexion,0
condition,état,0
conduct,conduite,0
confess,avouer,0
conscience,conscience,0
consent,consentement,0
consider,considérer,0
constable,gendarme,0
constant,constant,0
contempt,mépris,0
content,contenu,0
contrary,contraire,0
copies,copies,0
copyright,droits d'auteur,1
could,pourrait,0
council,conseil,0
counsel,Conseil,0
count,compter,0
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,0
courage,courage,0
course,cours,0
court,tribunal,0
courtesy,courtoisie,0
cousin,cousin,0
coward,lâche,0
crave,demander,0
creature,créature,0
credit,crédit,0
cromwell,Cromwell,0
cross,traverser,0
crown,couronne,0
cruel,cruel,0
cunning,ruse,0
cupid,Cupidon,0
curse,malédiction,0
custom,Douane,0
dagger,dague,0
damned,damné,0
dance,Danse,0
danger,danger,0
darkness,obscurité,0
daughter,fille,0
deadly,mortel,0
dearest,très cher,0
dearly,chèrement,0
death,décès,0
deeds,actes,0
defend,défendre,0
degree,diplôme,0
delight,délice,0
deliver,livrer,0
demand,demande,0
denied,refusé,0
depart,partir,0
desert,désert,0
deserve,mériter,0
desire,le désir,0
despair,désespoir,0
desperate,désespéré,0
despite,malgré,0
device,dispositif,0
devil,diable,0
devise,concevoir,0
didst,didst,0
dinner,dîner,0
discourse,discours,0
discover,découvrir,0
disgrace,disgrâce,0
dishonour,déshonorer,0
dispatch,envoi,0
displeasure,mécontentement,0
disposition,disposition,0
distributed,distribué,0
divine,Divin,0
doctor,docteur,0
doing,Faire,0
dolabella,Dolabella,0
doors,des portes,0
double,double,0
doubt,doute,0
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,0
dread,crainte,0
dreadful,horrible,0
dream,rêver,0
dreams,rêves,0
drink,boisson,0
drops,gouttes,0
drown,noyer,0
drums,tambours,0
drunk,ivre,0
duncan,Duncan,0
durst,durst,0
dwell,habiter,0
dying,en train de mourir,0
early,de bonne heure,0
earth,Terre,0
edmund,Edmund,0
effect,effet,0
egypt,Egypte,0
either,Soit,0
elbow,coude,0
elder,aîné,0
embrace,embrasse,0
emilia,Émilie,0
emperor,empereur,0
empty,vide,0
encounter,rencontre,0
endure,supporter,0
enemies,ennemis,0
enemy,ennemi,0
enjoy,prendre plaisir,0
enobarbus,énobarbus,0
enough,assez,0
enter,entrer,0
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,0
equal,égal,0
estate,biens,0
eternal,éternel,0
every,chaque,0
everything,tout,0
excellent,excellent,0
except,sauf,0
excuse,excuse,0
execution,exécution,0
exeter,Exeter,0
exeunt,sortir,0
express,Express,0
faces,visages,0
faint,perdre connaissance,0
fairy,Fée,0
faith,Foi,0
falls,des chutes,0
false,faux,0
familiar,familier,0
fancy,fantaisie,0
farewell,adieu,0
farther,plus loin,0
fashion,mode,0
fatal,fatal,0
father,père,0
fault,faute,0
favour,favoriser,0
fearful,craintif,0
fears,peurs,0
feast,le banquet,0
feeble,faible,0
fellow,compagnon,0
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,0
field,champ,0
fiend,démon,0
fierce,féroce,0
fiery,ardent,0
fight,bats toi,0
figure,figure,0
finds,trouve,0
finger,doigt,0
first,première,0
flatter,flatter,0
flesh,la chair,0
flies,mouches,0
flight,vol,0
flood,inonder,0
flourish,fleurir,0
flower,fleur,0
flowers,fleurs,0
follow,suivre,0
folly,folie,0
foolish,insensé,0
fools,imbéciles,0
forbear,ancêtre,0
forbid,interdire,0
force,Obliger,0
forces,les forces,0
forest,forêt,0
forget,oublier,0
former,ancien,0
forsooth,en vérité,0
forth,en avant,0
fortune,fortune,0
forward,vers l'avant,0
fought,combattu,0
found,a trouvé,0
fourth,Quatrième,0
frame,Cadre,0
france,France,0
freely,librement,0
french,français,0
fresh,Frais,0
friend,ami,0
frown,froncer les sourcils,0
fruit,fruit,0
further,plus loin,0
gallant,galant,0
garden,jardin,0
gates,portes,0
gaunt,décharné,0
general,général,0
gentle,doux,0
ghost,fantôme,0
given,donné,0
giving,donnant,0
glass,verre,0
glorious,glorieux,0
glory,gloire,0
going,Aller,0
golden,d'or,0
goodness,la bonté,0
gower,gower,0
grace,la grâce,0
grant,subvention,0
grave,la tombe,0
great,génial,0
green,vert,0
greet,saluer,0
grief,douleur,0
grieve,pleurer,0
gross,brut,0
ground,sol,0
grown,grandi,0
guard,garde,0
guess,devine,0
guilty,coupable,0
habit,habitude,0
hands,mains,0
hanging,pendaison,0
hangs,bloque,0
happiness,bonheur,0
happy,heureux,0
haste,hâte,0
hateful,odieux,0
having,ayant,0
hazard,danger,0
heads,têtes,0
health,santé,0
heard,entendu,0
heart,cœur,0
heaven,paradis,0
heavy,lourd,0
hector,Hector,0
heels,talons,0
hence,Par conséquent,0
henceforth,désormais,0
hereafter,"""ci-après",0
herself,se,0
highness,altesse,0
holds,tient,0
hollow,creux,0
honest,honnête,0
horse,cheval,0
hostess,hôtesse,0
hours,heures,0
house,maison,0
hubert,Hubert,0
humble,humble,0
humour,humour,0
hundred,cent,0
husband,mari,0
ignorant,ignorant,0
image,image,0
includes,comprend,0
indeed,En effet,0
infinite,infini,0
innocent,innocent,0
instant,instant,0
intend,avoir l'intention,0
intent,intention,0
issue,problème,0
itself,lui-même,0
jealous,jaloux,0
jewel,bijou,0
judge,juge,0
judgment,jugement,0
julia,Julia,0
justice,Justice,0
keeps,garde,0
kindness,la gentillesse,0
kingdom,Royaume,0
kings,rois,0
knave,fripon,0
kneel,s'agenouiller,0
knees,les genoux,0
knife,couteau,0
knight,Chevalier,0
knock,frappe,0
knowing,connaissance,0
knowledge,connaissance,0
known,connu,0
knows,sait,0
labour,la main d'oeuvre,0
ladies,Dames,0
ladyship,Madame,0
lands,terres,0
large,grand,0
laugh,rire,0
launce,lancer,0
lawful,légitime,0
learn,apprendre,0
learned,appris,0
least,moins,0
leave,laisser,0
leisure,loisir,0
leontes,leontes,0
letter,lettre,0
liberty,liberté,0
library,bibliothèque,0
liege,Liege,0
lieutenant,lieutenant,0
light,lumière,0
limbs,membres,0
little,peu,0
lives,vies,0
living,vivant,0
longer,plus long,0
looks,regards,0
loose,ample,0
lords,seigneurs,0
lordship,seigneurie,0
lorenzo,Lorenzo,0
lovely,charmant,0
lovers,les amoureux,0
loves,aime,0
loving,aimant,0
lucentio,Lucentio,0
machine,machine,0
madness,la démence,0
maiden,jeune fille,0
maids,servantes,0
maintain,maintenir,0
majesty,majesté,0
makes,fait du,0
making,fabrication,0
malice,malice,0
manner,manière,0
march,Mars,0
marcius,Marcius,0
marcus,Marcus,0
margaret,margaret,0
maria,maria,0
mariana,Mariana,0
marriage,mariage,0
marry,marier,0
master,Maître,0
match,rencontre,0
matter,matière,0
meaning,sens,0
means,veux dire,0
meant,signifiait,0
measure,mesure,0
meeting,réunion,0
membership,adhésion,0
memory,Mémoire,0
merchant,marchande,0
mercy,pitié,0
merit,mérite,0
merry,joyeux,0
messenger,Messager,0
midnight,minuit,0
might,pourrait,0
mighty,puissant,0
milan,Milan,0
minds,esprits,0
minister,ministre,0
miranda,Miranda,0
mirth,gaieté,0
mischief,sottises,0
misery,misère,0
mistake,erreur,0
mistress,maîtresse,0
modest,modeste,0
money,argent,0
monster,monstre,0
month,mois,0
morning,Matin,0
morrow,demain,0
mortal,mortel,0
mother,mère,0
motion,mouvement,0
mouth,bouche,0
mowbray,mowbray,0
murder,meurtre,0
murther,aller plus loin,0
music,la musique,0
myself,moi même,0
naked,nu,0
names,des noms,0
native,originaire de,0
natural,Naturel,0
nature,la nature,0
needs,Besoins,0
neighbour,voisine,0
neither,ni,0
never,jamais,0
niece,nièce,0
night,nuit,0
noble,noble,0
noise,bruit,0
nothing,rien,0
nought,néant,0
number,nombre,0
nurse,infirmière,0
oaths,serments,0
obedience,obéissance,0
oberon,Oberon,0
object,objet,0
occasion,occasion,0
offence,infraction,0
offend,offenser,0
offer,offre,0
office,Bureau,0
often,souvent,1
oliver,oliver,0
opinion,opinion,0
order,ordre,0
orlando,orlando,0
other,autre,0
others,autres,0
ourselves,nous-mêmes,0
outward,vers l'extérieur,0
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,0
painted,peint,0
painter,peintre,0
palace,palais,0
pandarus,Pandarus,0
paper,papier,0
pardon,pardon,0
paris,Paris,0
parolles,parolles,0
parted,séparé,0
particular,particulier,0
partly,partiellement,0
parts,les pièces,0
party,fête,0
passage,passage,0
passion,la passion,0
patience,la patience,0
patient,patient,0
paulina,paulina,0
peace,paix,0
pedro,pedro,0
people,gens,0
perceive,apercevoir,0
percy,Percy,0
perfect,parfait,0
perhaps,peut-être,0
peril,péril,0
permission,autorisation,0
person,la personne,0
personal,personnel,0
phebe,phebe,0
philip,Philippe,0
picture,image,0
piece,pièce,0
pistol,pistolet,0
place,endroit,1
plague,peste,0
plain,plaine,0
plead,plaider,0
please,S'il vous plaît,0
pleasure,plaisir,0
pluck,cueillir,0
poins,poins,0
point,point,0
poison,poison,0
policy,politique,0
polixenes,polixènes,0
pompey,pompey,0
porter,porter,0
possible,possible,0
posthumus,posthume,0
pound,livre,0
power,Puissance,0
practice,entraine toi,0
praise,louange,0
prayers,prières,0
precious,précieux,0
prepare,préparer,0
presence,présence,0
present,présent,2
pretty,jolie,0
pride,fierté,0
priest,prêtre,0
prince,prince,0
prison,prison,0
private,privé,0
prize,prix,0
proceed,procéder,0
proclaim,proclamer,0
profit,profit,0
prohibited,interdit,0
project,projet,0
prologue,prologue,0
promise,promettre,0
proof,preuve,0
proper,correct,0
protector,protecteur,0
protest,manifestation,0
proud,fier,0
prove,prouver,0
provided,à condition de,0
public,Publique,0
purpose,objectif,0
purse,bourse,0
quality,qualité,0
quarrel,querelle,0
queen,reine,0
question,question,0
quick,rapide,0
quiet,silencieux,0
quite,assez,0
quoth,quoth,0
raise,élever,0
ransom,une rançon,0
rascal,coquin,0
rather,plutôt,0
readable,lisible,0
ready,prêt,0
realm,domaine,0
reason,raison,0
receive,recevoir,0
regard,qui concerne,0
reign,règne,0
reignier,règne,0
remain,rester,0
remedy,remède,0
remember,rappelles toi,0
render,rendre,0
repair,réparation,0
repent,se repentir,0
report,rapport,0
reputation,réputation,0
request,demande,0
respect,le respect,0
return,revenir,0
revenge,vengeance,0
reverence,révérence,0
revolt,révolte,0
right,droite,0
rivers,rivières,0
rogue,coquin,0
rotten,pourri,0
rough,rugueux,0
round,rond,0
royal,Royal,0
sacred,sacré,0
safety,sécurité,0
saint,Saint,0
salerio,salerio,0
satisfied,satisfait,0
saying,en disant,0
scarce,rare,0
scene,scène,0
scorn,mépris,0
search,chercher,0
season,saison,0
second,seconde,0
secret,secret,0
seeing,voyant,0
senate,sénat,0
senator,sénateur,0
sense,sens,0
sentence,phrase,0
servant,serviteur,0
serve,servir,0
service,un service,0
seven,Sept,0
several,nombreuses,0
shadow,ombre,0
shake,secouer,0
shall,doit,0
shame,la honte,0
shape,forme,0
sharp,tranchant,0
shepherd,berger,0
shine,éclat,0
shore,rive,0
short,court,0
shortly,prochainement,0
should,devrait,1
shows,montre,0
sickness,maladie,0
sight,vue,0
silence,silence,0
silver,argent,0
simple,Facile,0
since,depuis,0
single,Célibataire,0
sirrah,sirrah,0
sister,sœur,0
skill,compétence,0
slain,tué,0
slander,calomnie,0
slave,esclave,0
sleep,sommeil,0
slender,mince,0
small,petit,0
smell,odeur,0
smile,sourire,0
soldier,soldat,0
solemn,solennel,0
somerset,somerset,0
something,quelque chose,0
sometime,parfois,0
sooner,plus tôt,0
soothsayer,devin,0
sorrow,chagrin,0
sorry,Pardon,0
sought,recherché,0
souls,âmes,0
sound,du son,0
sovereign,souverain,0
spare,de rechange,0
speak,parler,0
speaks,parle,0
special,spécial,0
speech,discours,0
speed,la vitesse,0
spend,dépenser,0
spirit,esprit,0
spite,dépit,0
spoke,parlait,0
sport,sport,0
spring,printemps,0
staff,Personnel,0
stain,tache,0
stand,supporter,0
stars,étoiles,0
state,Etat,0
steal,voler,0
steel,acier,0
steward,intendant,0
still,encore,0
stomach,estomac,0
stone,calcul,0
stood,se tenait,0
store,boutique,0
storm,orage,0
story,récit,0
straight,tout droit,0
strange,étrange,0
street,rue,0
strength,force,0
strike,la grève,0
stroke,accident vasculaire cérébral,0
strong,fort,0
struck,frappé,0
study,étude,0
stuff,des trucs,0
subject,matière,0
substance,substance,0
success,Succès,0
sudden,soudain,0
suddenly,tout à coup,0
suffer,souffrir,0
suffolk,suffolk,0
summer,été,0
supper,souper,0
surely,sûrement,0
surrey,Surrey,0
suspect,suspect,0
swear,jurer,0
sweat,transpiration,0
sweet,sucré,0
swift,rapide,0
sword,épée,0
swore,juré,0
sworn,juré,0
syracuse,Syracuse,0
table,table,0
tailor,tailleur,0
taken,pris,0
talbot,talbot,0
tarry,goudronneux,0
taste,goût,0
